user_id,product_identifier,frequency_type,inception_policy_id,adjustment_policy_id,change_number,transaction_type,effective_start_date,effective_end_date,ftp_start_date,ftp_valid_until,flex_policy_earned_hours,transaction_gwp,policy_total_gwp
11149,GB_delivery_flex_scooter,flex,125414,125414,0,Flex Policy,28/08/2017,28/08/2017,,,9,4.46,4.46
11149,GB_delivery_flex_scooter,flex,126998,126998,0,Flex Policy,31/08/2017,31/08/2017,,,6,4.02,4.02
11149,GB_delivery_flex_scooter,flex,129065,129065,0,Flex Policy,04/09/2017,04/09/2017,,,10,4.46,4.46
9515,GB_delivery_flex_scooter,flex,131555,131555,0,Flex Policy,05/09/2017,05/09/2017,,,5,3.35,3.35
9515,GB_delivery_flex_scooter,flex,131565,131565,0,Flex Policy,08/09/2017,08/09/2017,,,5,3.35,3.35
11447,GB_delivery_flex_scooter,flex,131681,131681,0,Flex Policy,08/09/2017,08/09/2017,,,3,2.01,2.01
9515,GB_delivery_flex_scooter,flex,132829,132829,0,Flex Policy,10/09/2017,10/09/2017,,,4,2.68,2.68
9515,GB_delivery_flex_scooter,flex,133325,133325,0,Flex Policy,11/09/2017,11/09/2017,,,2,1.34,1.34
11447,GB_delivery_flex_scooter,flex,136365,136365,0,Flex Policy,16/09/2017,16/09/2017,,,3,2.01,2.01
9515,GB_delivery_flex_scooter,flex,136859,136859,0,Flex Policy,17/09/2017,17/09/2017,,,5,3.35,3.35
9515,GB_delivery_flex_scooter,flex,138022,138022,0,Flex Policy,19/09/2017,19/09/2017,,,5,3.35,3.35
11149,GB_delivery_flex_scooter,flex,138678,138678,0,Flex Policy,20/09/2017,20/09/2017,,,5.62,4.02,4.02
11447,GB_delivery_flex_scooter,flex,139956,139956,0,Flex Policy,22/09/2017,22/09/2017,,,3,2.01,2.01
3908,GB_delivery_flex_scooter,flex,141220,141220,0,Flex Policy,24/09/2017,24/09/2017,,,3,2.01,2.01
9515,GB_delivery_flex_scooter,flex,145799,145799,0,Flex Policy,02/10/2017,02/10/2017,,,5,3.35,3.35
